,D1,D2
a,0.907175656,0.997121655
b,0.523401339,0.882994959
c,0.563333413,1.015491276
d,-0.017599469,0.593564188
e,0.453831488,0.747655316
f,-0.402743536,0.708146266
g,-0.340245348,0.109730498
h,-0.104030141,0.367259414
i,0.450386917,0.620237306
j,0.082675047,0.536066289
k,0.461828759,0.24577135
l,0.179338785,0.189483819
m,-0.132872581,-0.311967549
n,-0.1356459,-0.619604746
o,-0.36471061,-0.458281602
p,-0.026587777,-0.620821961
q,-0.478452545,-0.604393565
r,-0.120981941,-0.733699587
s,0.15376752,-0.151208838
t,-0.429643143,-0.386400566
u,0.086257853,-0.315257443
v,-0.130750737,-0.524414545
w,-0.288332097,-0.354981875
x,-0.385171777,-0.587728982
y,-0.298572247,-0.703530205
z,-0.20565693,-0.641230872
